Time,Image Name,Latitude,Longitude,Altitude,Albedo,Temperature
13:03:40,image_1,"(23.0, 9.0, 57.84862)","(63.0, 16.0, 19.0988)",424826,0.341900733,265.27542
13:04:10,image_2,"(24.0, 35.0, 42.07736)","(61.0, 57.0, 49.82101)",425200,0.322070706,267.1340051
13:04:40,image_3,"(26.0, 0.0, 37.22324)","(60.0, 37.0, 20.91889)",425579,0.280012035,271.0634226
13:05:10,image_4,"(27.0, 24.0, 23.95253)","(59.0, 14.0, 57.57706)",425961,0.298475856,269.1878414
13:05:40,image_5,"(28.0, 47.0, 28.07628)","(57.0, 49.0, 59.59078)",426347,0.298995045,269.0161603
13:06:10,image_6,"(30.0, 9.0, 8.73637)","(56.0, 22.0, 53.42102)",426732,0.296583209,269.125767
13:06:40,image_7,"(31.0, 29.0, 54.30131)","(54.0, 52.0, 52.57736)",427118,0.299529303,268.7220223
13:07:10,image_8,"(32.0, 49.0, 19.42986)","(53.0, 20.0, 7.03)",427501,0.316853322,266.9252303
13:07:40,image_9,"(34.0, 7.0, 15.75937)","(51.0, 44.0, 28.87166)",427879,0.324740352,266.0338606
13:08:10,image_10,"(35.0, 23.0, 36.47785)","(50.0, 5.0, 48.035)",428250,0.379339202,260.3721902
13:08:40,image_11,"(36.0, 38.0, 35.5582)","(48.0, 23.0, 24.74048)",428615,0.528132415,243.0250586
13:09:10,image_12,"(37.0, 51.0, 34.40524)","(46.0, 37.0, 49.84784)",428970,0.462426833,250.9722121
13:09:40,image_13,"(39.0, 2.0, 44.75576)","(44.0, 48.0, 24.6155)",429313,0.356995018,262.3591819
13:10:10,image_14,"(40.0, 11.0, 46.02469)","(42.0, 55.0, 16.89233)",429643,0.278769238,269.8947232
13:10:40,image_15,"(41.0, 18.0, 52.0286)","(40.0, 57.0, 37.01588)",429960,0.432222377,254.1325208
13:11:10,image_16,"(42.0, 23.0, 24.17597)","(38.0, 56.0, 5.42292)",430259,0.558536011,238.5550103
13:11:40,image_17,"(43.0, 25.0, 36.60222)","(36.0, 49.0, 47.57286)",430542,0.545617599,240.2023859
13:12:10,image_18,"(44.0, 24.0, 50.45436)","(34.0, 39.0, 34.68078)",430805,0.392712817,258.1890768
13:12:40,image_19,"(45.0, 21.0, 20.38961)","(32.0, 24.0, 26.44049)",431049,0.287685798,268.6174878
13:13:14,image_20,"(46.0, 21.0, 42.29518)","(29.0, 45.0, 28.7834)",431299,0.377492539,259.6429997
13:13:44,image_21,"(47.0, 11.0, 26.44861)","(27.0, 20.0, 15.50893)",431495,0.497564795,246.0434653
13:14:14,image_22,"(47.0, 57.0, 40.96656)","(24.0, 50.0, 21.94775)",431666,0.534156249,241.3880967
13:14:44,image_23,"(48.0, 40.0, 12.09367)","(22.0, 16.0, 0.30018)",431813,0.41486749,255.5026471
13:15:14,image_24,"(49.0, 18.0, 50.02848)","(19.0, 37.0, 13.55498)",431934,0.656364234,223.6379989
13:15:44,image_25,"(49.0, 53.0, 24.39722)","(16.0, 54.0, 9.2642)",432028,0.407534487,256.2356334
13:16:14,image_26,"(50.0, 23.0, 36.23597)","(14.0, 7.0, 49.84039)",432094,0.339197108,263.3046744
13:16:44,image_27,"(50.0, 49.0, 27.16093)","(11.0, 17.0, 36.08923)",432132,0.333842051,263.8249067
13:17:14,image_28,"(51.0, 10.0, 44.26594)","(8.0, 24.0, 9.62945)",432142,0.328970345,264.3028784
13:17:44,image_29,"(51.0, 27.0, 17.22312)","(5.0, 28.0, 21.3864)",432123,0.354660609,261.7417825
13:18:14,image_30,"(51.0, 39.0, 0.84348)","(2.0, 30.0, 38.52633)",432074,0.358510524,261.3653555
13:18:44,image_31,"(51.0, 45.0, 49.73897)","(0.0, 27.0, 47.63825)",431996,0.388568922,258.2716386
13:19:14,image_32,"(51.0, 47.0, 43.67814)","(3.0, 27.0, 37.43008)",431888,0.375816849,259.6403256
13:19:44,image_33,"(51.0, 44.0, 40.71178)","(6.0, 26.0, 41.172)",431751,0.332517712,264.0723703
13:20:14,image_34,"(51.0, 36.0, 43.11187)","(9.0, 24.0, 58.41487)",431585,0.325036439,264.860146
13:20:44,image_35,"(51.0, 23.0, 50.30034)","(12.0, 22.0, 33.4682)",431389,0.322175627,265.2005773
13:21:14,image_36,"(51.0, 6.0, 10.20236)","(15.0, 17.0, 51.42599)",431166,0.277648393,269.522242
13:21:44,image_37,"(50.0, 43.0, 51.97501)","(18.0, 10.0, 8.86249)",430915,0.398272785,257.5631992
13:22:14,image_38,"(50.0, 16.0, 55.3458)","(20.0, 59.0, 55.30988)",430636,0.658335101,223.6529484
